RESERVATION_DATE	CHAR_RESERVATION_DATE	MARKET_CODE_SEQ	MARKET_CODE	MARKET_CODE_DESCRIPTION	S_DEF_ROOMS_DAY	S_DEF_ROOMS_MKT	S_REV_DAY	S_REV_MKT	DAY_ROOMS	TOT_ARR_DAY	TOT_ARR_MKT	ARRIVAL_RMS_DAY	ARR_RMS_MKT	GUEST_DAY	GUEST_MKT	DOUBLE_OCC_DAY	DOUBLE_OCC_MKT	SINGLE_OCC_DAY	SINGLE_OCC_MKT	PER_DOUBLE_MKT	PER_DOUBLE_OCC_DAY	PER_OCC_DAY	PER_OCC_MKT	CS_SUM_OO_MKT	CS_AVG_OO_DAY	NO_DEFINITE_ROOMS	ARRIVAL_RMS	NO_OF_GUESTS	SINGLE_OCCUPANCY	MULTI_OCCUPANCY	TOTAL_REVENUE	OO_ROOMS	PRINT_NO_OF_ROOMS	GET_ARR	PER_OCC	MULTI_OCC_PER
19-JUL-21	07-19-21	IDAGP	IDAGP	IDAGP	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDAIB	IDAIB	IDAIB	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDAMR	IDAMR	IDAMR	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDANP	IDANP	IDANP	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDARP	IDARP	IDARP	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDAS1	IDAS1	IDAS1	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDAVC	IDAVC	IDAVC	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDAWG	IDAWG	IDAWG	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDAWV	IDAWV	IDAWV	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDAX4	IDAX4	IDAX4	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDBRV	IDBRV	IDBRV	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDH00	IDH00	IDH00	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDH0G	IDH0G	IDH0G	60	5	7345.01	767.7		122.416833	153.54	38	4	84	8	17	3	43	2	60	28.3333333	77.9220779	6.49350649	3	3	5	4	8	2	3	767.7	3	5	153.54	6.49350649	60
19-JUL-21	07-19-21	IDH10	IDH10	IDH10	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDH12	IDH12	IDH12	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDH14	IDH14	IDH14	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDH15	IDH15	IDH15	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDH20	IDH20	IDH20	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDH25	IDH25	IDH25	60	2	7345.01	214.66		122.416833	107.33	38	2	84	4	17	2	43	0	100	28.3333333	77.9220779	2.59740260	3	3	2	2	4	0	2	214.66	3	2	107.33	2.59740260	100
19-JUL-21	07-19-21	IDHCC	IDHCC	IDHCC	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDHCP	IDHCP	IDHCP	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDHGP	IDHGP	IDHGP	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDHIB	IDHIB	IDHIB	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDHNP	IDHNP	IDHNP	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDHVC	IDHVC	IDHVC	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDHWG	IDHWG	IDHWG	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDHWV	IDHWV	IDHWV	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDIN2	IDIN2	IDIN2	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDINR	IDINR	IDINR	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDL00	IDL00	IDL00	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDL0G	IDL0G	IDL0G	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDL10	IDL10	IDL10	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDL12	IDL12	IDL12	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDL14	IDL14	IDL14	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDL15	IDL15	IDL15	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDLCC	IDLCC	IDLCC	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDLVC	IDLVC	IDLVC	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDLWG	IDLWG	IDLWG	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDLWV	IDLWV	IDLWV	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDMCP	IDMCP	IDMCP	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDME0	IDME0	IDME0	60	3	7345.01	510.15		122.416833	170.05	38	3	84	6	17	3	43	0	100	28.3333333	77.9220779	3.89610390	3	3	3	3	6	0	3	510.15	3	3	170.05	3.89610390	100
19-JUL-21	07-19-21	IDME2	IDME2	IDME2	60	1	7345.01	190.67		122.416833	190.67	38	0	84	1	17	0	43	1	0	28.3333333	77.9220779	1.29870130	3	3	1	0	1	1	0	190.67	3	1	190.67	1.29870130	0
19-JUL-21	07-19-21	IDMEF	IDMEF	IDMEF	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDMES	IDMES	IDMES	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDOTH	IDOTH	IDOTH	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDOTHMGR	IDOTHMGR	IDOTHMGR	60	4	7345.01	439.05		122.416833	109.7625	38	0	84	5	17	1	43	3	25	28.3333333	77.9220779	5.19480519	3	3	4	0	5	3	1	439.05	3	4	109.7625	5.19480519	25
19-JUL-21	07-19-21	IDOTHWAL	IDOTHWAL	IDOTHWAL	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDP0A	IDP0A	IDP0A	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDP0B	IDP0B	IDP0B	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDP0C	IDP0C	IDP0C	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDP0D	IDP0D	IDP0D	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDP10	IDP10	IDP10	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDPA2	IDPA2	IDPA2	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDPAI	IDPAI	IDPAI	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDPB2	IDPB2	IDPB2	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDPBI	IDPBI	IDPBI	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDSLS	IDSLS	IDSLS	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDU00	IDU00	IDU00	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
