RESERVATION_DATE	CHAR_RESERVATION_DATE	MARKET_CODE_SEQ	MARKET_CODE	MARKET_CODE_DESCRIPTION	S_DEF_ROOMS_DAY	S_DEF_ROOMS_MKT	S_REV_DAY	S_REV_MKT	DAY_ROOMS	TOT_ARR_DAY	TOT_ARR_MKT	ARRIVAL_RMS_DAY	ARR_RMS_MKT	GUEST_DAY	GUEST_MKT	DOUBLE_OCC_DAY	DOUBLE_OCC_MKT	SINGLE_OCC_DAY	SINGLE_OCC_MKT	PER_DOUBLE_MKT	PER_DOUBLE_OCC_DAY	PER_OCC_DAY	PER_OCC_MKT	CS_SUM_OO_MKT	CS_AVG_OO_DAY	NO_DEFINITE_ROOMS	ARRIVAL_RMS	NO_OF_GUESTS	SINGLE_OCCUPANCY	MULTI_OCCUPANCY	TOTAL_REVENUE	OO_ROOMS	PRINT_NO_OF_ROOMS	GET_ARR	PER_OCC	MULTI_OCC_PER
07-JUL-21	07-07-21	IGNSD	IGNSD	IGNSD	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IGNSE	IGNSE	IGNSE	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IGNSF	IGNSF	IGNSF	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IGNSL	IGNSL	IGNSL	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IGTMC	IGTMC	IGTMC	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IK2KP	IK2KP	IK2KP	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IK3KP	IK3KP	IK3KP	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IK5KP	IK5KP	IK5KP	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IKBPA	IKBPA	IKBPA	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IKBPC	IKBPC	IKBPC	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IKBPD	IKBPD	IKBPD	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IKBPE	IKBPE	IKBPE	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IKBPF	IKBPF	IKBPF	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IKBPG	IKBPG	IKBPG	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
